09/13/21;04:40AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;04:45AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;04:50AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;04:55AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;05:00AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;05:05AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;05:10AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;05:15AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;05:20AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;05:25AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;05:30AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;05:35AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;05:40AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;05:45AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;05:50AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;05:55AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;06:00AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;06:05AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;06:10AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;06:15AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
